Question,Answer,Class
What documents are required at the time of a claim,The insured shall arrange for submission of the following documents required to process a claim within 45 days from the date of intimation. Duly completed claim form Original discharge summary Consultation note/ relevant treatment papers All relevant medical reports along with supporting invoices and doctors requisition advising the same Original and final hospitalization bills with detailed break-up Pharmacy Bills along with prescriptions Any other documents as may be required by the company On receipt of the claim documents the claim will be processed in accordance with the terms and conditions of the policy. View more,insurance
Who do I contact in the case of a claim under the Critical Illness - Platinum Plan,"In the case of a claim under the policy, you should immediately intimate us on our helpline numbers.",insurance
What are the medical tests that I need to undergo to enrol myself for the  - Platinum Plan policy,No pre-policy medical check up is required for individuals up to the age of 45 years.,insurance
Why should I buy Critical Illness insurance,Critical Illness insurance provides you and your family additional financial security on the diagnosis of a critical illness. The policy provides a lump sum amount which could be used for: Cost of care and treatment Recuperation aid Debts pay off Any lost in income due to a decrease in ability to work View more,insurance
What are the benefits under  the Critical Illness - Platinum Plan,"The company will pay the sum insured as a lump sum on the first diagnosis of any one of the following critical illnesses, provided that the insured person survives a period of 30 days from the date of the first diagnosis. The following critical illnesses are covered under our plan: Heart Attack (Myocardial Infarction ) Coronary Artery Bypass Surgery Stroke Cancer Kidney Failure Major Organ Transplant Multiple Sclerosis Paralysis View more",insurance
Is there any tax exemption under the Health Suraksha policy,"Yes, you can avail up to Rs. 15,000 as tax benefit under 'Section 80D'. In case you are a senior citizen, you can avail up to Rs. 20,000 as tax benefit under 'Section 80D'. Subject to changes in Tax laws",insurance
What do you mean by pre-existing diseases not covered under the Critical Illness - Platinum plan,"A pre-existing disease is any condition, ailment, injury or related condition for which the insured person had signs or symptoms and/or was diagnosed and/or received medical advice or treatment prior to the first policy with the company.",insurance
What is cumulative bonus,"Cumulative bonus is an increase in the sum insured by a specified percentage of every claim free year subject to a certain maximum, provided that the policy is renewed without any break. Under the Health Suraksha policy, you can avail a 5% cumulative bonus for every claim free year upto 50% of SI..",insurance
What is meant by Day Care Procedures,Day Care Procedures are the medical procedures/surgeries wherein the person does not need to be hospitalised for more than 24 hours due to technological advancement.,insurance
What are Pre and Post hospitalisation expenses,"Pre-hospitalisation expenses means medical expenses incurred for a specified number of days prior to hospitalisation for any disease, illness or injury sustained which is covered under the Policy. Post-hospitalisation expenses means medical expenses incurred for a specified number of days after discharge from the hospital. In 'Health Suraksha' the pre-hospitalisation period is 60 days while the post-hospitalisation period is 90 days.",insurance
What are the benefits of a health card,"A health card mentions the contact details and contact numbers of the TPA. In case of a medical emergency, you can call these numbers for queries, clarifications or to seek any kind of assistance. Moreover, you need to display your health card at the time of admission into the hospital.",insurance
Do I need to pay for hospitalisation,"If you are admitted in any of our network hospitals, you can avail a cashless facility. We will directly reimburse all the admissible expenses to the hospital. However, in case of non-network hospitals you will have to settle hospital bills at the time of discharge and consequently, the same will be reimbursed to you by us.",insurance
What are the medical tests that I need to undergo to enrol myself for  the Critical Illness policy,No pre-policy medical check up is required for anyone up to the age of 45 years.,insurance
What is Family Floater and what are its features,"Family Floater is a policy wherein the entire family of the insured comprising of the insured and his/her dependents, are covered under a single sum insured. The advantages of such a policy are: All member of the family (as defined above) can be covered under one policy. A Single Premium is payable for the entire family The amount of the sum insured floats over the entire family, i.e. the limit can be used by any member of the family, any number of times. You do not have to keep track of renewals for different members. Just a single renewal date has to be remembered. View more",insurance
What is meant by disease,"Disease means a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterised by an identifiable group of signs or symptoms.",insurance
What are domiciliary hospitalisation expenses under the Health Suraksha policy,"Domiciliary hospitalisation means medical treatment for a period exceeding 3 days for such illness, disease or injury which in the normal course would require care and treatment at a hospital/nursing home but is actually taken while confined at home in India, but only under the following circumstances: The condition of the patient is such that he/she cannot be taken to the hospital/nursing home The patient cannot be taken to the hospital/nursing home as a result of lack of accommodation therein View more",insurance
How do I make a claim under the Accidental Protection Plan - Hospital Cash policy,"You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (Any Line) or 022 6638 4800 (Local/STD charges apply). We will then assist you with the submission of the required documents and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
What is meant by Network Hospitals,"These are hospitals that form part of the company's network (part of the company's tie-up list). For a complete list of network hospitals, log on to our website www.hdfcergo.com",insurance
Are there any special discounts available under the Health Suraksha policy,"The policy provides a family discount of 10%, if 3 or more family members are covered under a single policy on an individual sum insured basis.",insurance
What do you mean by pre-existing diseases,"Any condition, ailment, injury of related condition(s) for which the insured person has had signs or symptoms and/or was diagnosed and/or has received medical advice/treatment within 48 months prior to the insured’s first policy with the company.",insurance
What is a hospital/nursing home,"A hospital/nursing home means an establishment which: is registered as such with a local authority and is under the supervision of a registered and qualified Medical Practitioner and operates for the reception, care and treatment of sick, ailing or injured persons as inpatients provides organized facilities for diagnosis and medical and surgical treatment at all times; and is not primarily a day clinic, rest or convalescent home or similar establishment and is not, other than incidentally, a place for the treatment of alcoholics or drug addicts or a rehabilitation centre;OR has a fully equipped operation theatre of its own wherever surgical operations are carried out provides nursing care and has a physician or a staff of physicians actually on the premises at all times at least 10 in-patient beds at all times View more",insurance
Are all Health Suraksha policy holders eligible for a health card,"Yes, all policy holders are eligible for a health card as it is an important component of the policy.",insurance
Why do I need health insurance,Health Insurance will protect you and your family against any financial contingency arising due to a medical emergency.,insurance
What is covered under the Ayush benefit,"Under the Ayush benefit expenses are reimbursed for in-patient treatment taken under Ayurveda, Unani, Sidha or Homeopathy.",insurance
What are the benefits under  the Health Suraksha policy,"Health Suraksha offers optimum health coverage at affordable prices. The plan not only covers hospitalisation expenses due to accidents or illness but also extends to cover pre and post hospitalisation expenses, day care procedures, domiciliary treatment, organ donor expenses, emergency ambulance and ayush benefit.",insurance
What is an injury or injuries,"Injury or injuries means any physical, external or accidental bodily injury occurring suddenly in time and resulting solely and independently of any other cause or any physical defect or infirmity existing before the period of insurance.",insurance
What is meant by non-network hospitals,"These hospitals do not form part of the company’s tie-up list. The bills are settled by the Insured and the relevant documents and bills are subsequently submitted to the TPA. The amount consequently, is reimbursed to the insured.",insurance
What is meant by Organ Donor Expense,Organ Donor Expenses are all the hospitalisation expenses incurred by the donor for the donation of an organ (excluding the cost of the organ) to the insured during the course of an organ transplant.,insurance
What do you mean by pre-existing diseases,"Any condition, ailment, injury of related condition(s) for which the insured person has had signs or symptoms and/or was diagnosed and/or has received medical advice/treatment within 48 months prior to the insured’s first policy with the company.",insurance
Who do I contact to submit a claim under Health Suraksha policy in case of hospitalisation,"For hospitalization /claim, customer can contact via Call: 1800 200 1999 / 1860 2000 700 Fax: 1860 2000 600 Email: [email protected] Through IPO: Login to Insurance Portfolio Organizer (IPO) from HDFC Ergo website home page",insurance
Is there any tax exemption under the Health Suraksha policy,"Yes, you can avail up to Rs. 15,000 as tax benefit under 'Section 80D'. In case you are a senior citizen, you can avail up to Rs. 20,000 as tax benefit under 'Section 80D'. Subject to changes in Tax laws",insurance
What are the plans available under this policy,"You can insure yourself for Rs. 3 Lakhs, Rs. 4 Lakhs or Rs. 5 Lakhs. You can choose from any of the four plans mentioned below: 1 Adult 2 Adults 2 Adults and 1 Child 2 Adults and 2 Children The policy offers the option to cover on an individual sum insured basis or a family floater basis. View more",insurance
Is there any eligibility criterion to purchase this the Health Suraksha policy,A Health Suraksha policy is open to individuals from the age of 3 months to 65 years. There is no entry age limit unlike other policies,insurance
What is the benefit of broken bones under this policy,"Pays 10 % of Sum Insured upto 50,000(for dependent parents), if an accident results in broken bones",insurance
How do I make a claim,"You can make a claim by calling our Toll free number 1800-226-226 (MTNL or BSNL Line) or 1800-2-700-700 (Any Line) or 022 66384800 ( Local / STD charges apply). We will then assist you with the submission of the documents required and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
How do I renew my policy,We will send you renewal reminders. The number of days advance reminder depends upon the pay plan opted for.Payplansbreakup : Cheque-45daysCredit Card – 60 days,insurance
Will my accident policy cover me even if I am out of the country,Yes the accident policy will cover you even if you are out of the country. The sum insured will be paid to you in Indian Rupees in case of a claim i.e. the claim will be paid out in India only,insurance
Does this policy have hospital cash benefit,"Yes, depending on the plan selected hospital cash provides a benefit up to Rs. 500 everyday upto a maximum of 45 days in case of hospitalization due to an accident.",insurance
Does this policy cover natural death and daily sickness also ,This policy only covers accidental death.,insurance
What is the definition of a dependent child,Dependent child means an unmarried dependent child residing with the insured person between the age of 3 months and up to 18 years or up to the age of 21 if in full time education.,insurance
Who can be the beneficiary,The beneficiary could be any member of your family.,insurance
How many members can be included under the Family Plan,You can include your spouse as well as two dependent children under the Family Plan.,insurance
What kind of documentation is required,The best part of this policy is that it has hassle free documentation. All you need to do is fill the complete proposal form with relevant details and sign it .Tick any one plan and attach a cheque or fill the credit card details in the form.,insurance
What do you mean by exclusions,Exclusions are situations or conditions where in HDFC ERGO is not liable to pay the benefits to the insured person in the event of an accident.,insurance
When does my policy start,This will be commenced within 15 days from the date of receipt of form & premium payment,insurance
Is there an age limit for opting Individual Personal Accident Plan 2 policy,It is open to everyone from the age of 18 years to 65 years.,insurance
What are the benefits payable under this policy,"Now you can protect your entire family with Individual Personal Accident Plan 2 against accidental injuries. The policy provides the benefits to you and your family, for Accidental Death, Permanent Disability, Broken Bones, Burns due to an accident. It also provides benefit of Ambulance cost and hospital cash.",insurance
How do I make my premium payments,"This is an annual policy, where the premium can be made via Credit Card or Cheque",insurance
Can I include my parents in this policy,"Yes, you can include your dependent parents up to 70 years. The plan provides add on benefits for your dependent parents with an affordable flat rate. Now you can give back a small measure of the love and concern they showed for you.",insurance
What kind of benefits is my spouse and children entitled to,"100% of the sum insured in case of accidental death, permanent disability, broken bones, burns,Hospital cash of the spouse & 10% of the sum insured in case of accidental death or permanent disability of the children.",insurance
What are the available plans with under this policy,"HDFC ERGO offers you a wide range of Sum Insured, from Rs. 2.5 lakh to 15 lakh with four plan options to choose.Self PlanSelf & Family PlanSelf + Dependent Parents Add-onSelf & Family Plan + Dependent Parents Add-on",insurance
Will I get a renewed policy,"Yes, you shall receive the renewed policy",insurance
What is the Cancellation procedure,The policy can be cancelled with a notice period of 30 days. The premium paid by you will be returned on a pro-rata basis or 25% of the annual premium whichever is higher would be retained. Any cancellation request sent after 30 days of the commencement of the policy will be refunded on pro - rata basis.,insurance
How do I make my premium payments,"This is an annual policy, where the premium can be made online via Credit Card/Netbanking or Cheque",insurance
What is an accident,"Accident or Accidental means a sudden, unforeseen and involuntary event caused by external, visible & violent means",insurance
Can I include my parents in this policy,"Yes, you can include your dependent parents up to 65 years. The plan provides add on benefits for your dependent parents with an affordable flat rate. Now you can give back a small measure of the love and concern they showed for you.",insurance
How do I renew my policy,We will send you renewal reminders. The number of days advance reminder depends upon the pay plan opted for. Payplansbreakup : Cheque-45days Credit Card – 60 days,insurance
What is an accident,"Accidentmeans a sudden, unforeseen and involuntary event caused by external, visible & violent means.",insurance
What is the Cancellation procedure,The policy can be cancelled with a notice period of 30 days. The premium paid by you will be returned on a pro-rata basis or 25% of the annual premium whichever is higher would be retained. Any cancellation request sent after 30 days of the commencement of the policy will be refunded on pro - rata basis.,insurance
How do I make my premium payments,"This is an annual policy, where the premium can be made via Credit Card or Cheque.",insurance
What is an accident,"Accidentmeans a sudden, unforeseen and involuntary event caused by external, visible & violent means.",insurance
Is there an age limit for opting HDFC Ergo Personal Accident Insurance policy,Personal Accident Insurance is open to everyone from the age of 18 years to 65 years.,insurance
Till what age the HDFC Ergo Personal Accident Insurance policy can be renewed,Personal Accident Insurance policy can be renewed for life long,insurance
What do you mean by exclusions,Exclusions are situations or conditions where in HDFC ERGO is not liable to pay the benefits to the insured person in the event of an accident.,insurance
Does this policy cover natural death and daily sickness also,This policy only covers accidental death.,insurance
Who can be the beneficiary,The beneficiary could be any member of your family.,insurance
Will my accident policy cover me even if I am out of the country,Yes the accident policy will cover you even if you are out of the country. The sum insured will be paid to you in Indian Rupees in case of a claim i.e. the claim will be paid out in India only.,insurance
Does the threshold/deductible limit consist of single claim or multiple claims,"Threshold/ deductable limit is an aggregate deductible which the customer has to pay either from his pocket or through other Mediclaim, beyond aggregate deductible (crossed in single claim or in multiple claims in a policy year) full claim amount will be paid by HDFC Ergo General Insurance. Example-1: Single Claim in a policy year Deductible Sum Insured in HDFC Ergo General Insurance Insured Super Top up Policy Claim amt assessed Deductible Exhaustion Balance Deductible Claim amt payable by other policy / saving Claim amt payable by HDFC Ergo General Insurance Insured Super Top up Policy At inception 200,000 800,000 0 0 200,000 0 0 Claim 1 200,000 800,000 10,000,00 2,00,000 0 2,00,000 8,00,000 Example-2: Multiple Claims in a policy year Deductible Sum Insured in HDFC Ergo General Insurance Insured Super Top up Policy Claim amt assessed Deductible Exhaustion Balance Deductible Claim amt payable by other policy / saving Claim amt payable by HDFC Ergo General Insurance Insured Super Top up Policy At inception 200,000 800,000 0 0 200,000 0 0 Claim 1 200,000 800,000 150,000 150,000 50,000 150,000 0 Claim 2 200,000 800,000 300,000 50,000 0 50,000 250,000 Claim 3 200,000 800,000 550,000 0 0 0 550,000 View more",insurance
Is there any co-payment applied on this policy,All person(s) named covered under the policy above the age of 80 years (age last birthday) shall bear a co-pay of 10% for each and every claim.,insurance
Do I need to undergo medical test for buying this policy,"You are not required to undergo any medical tests up to the age of 55 years, except if you have declared any pre-existing diseases or ailments at the time of applying for the policy. In such cases and for applicants above age 55 years, one has to undergo the specified medical tests.",insurance
What are the Medical test charges,"Pre agreed charges for health check up with our network provider are Rs 1000/- and Rs.1200/- per person for SET1 & SET2 respectively. On acceptance of proposals, we will reimburse 50% of the expenses.",insurance
What is the minimum and maximum deductible in this plan,"You can choose minimum of Rs. 2,00,000 and maximum of Rs. 5,00,000 aggregate deductible in this policy.",insurance
What is the entry & exit age for this policy,One can be a proposer under the Policy from the age of 18 years to 65 years. You can insure your children from the age of 91 days to the age of 23 years.,insurance
Can I also include my parents and parent- in-laws in this policy,"Yes, you can include your parents and parent- in-laws in the same Policy on an Individual Sum Insured basis and in a separate Policy on floater Sum Insured basis.",insurance
Is it mandatory to inform change in health condition in writing while renewing Super Top Up plan,"No. There is no such obligation under the Policy. Once we have accepted the proposal, member will be eligible for life time renewal.",insurance
"If the claim amount is 6 lakhs, how much will be paid by HDFC Ergo General Insurance",Whatever is over and above the threshold limit will be paid.,insurance
What are the documents required,Please refer Policy wordings for exhaustive list of claims documents required. We will not ask for anything over and above the list given in Policy.,insurance
Will the continuity benefit (2years) be given on Super Top Up plan as well,Continuity benefit will not be available in Super Top Up plan as portability benefits are not available in this product.,insurance
Does pre-existing cover start after 4 years or 3 years,The Policy covers expenses incurred for the treatment of diseases that you have before taking the Policy. Such will be covered only after 36 months of continuous coverage.,insurance
Chemo & dialysis does not required local or general anesthesia will it be cover under day care,"Yes, since chemo & dialysis are recurring procedures and does not require local or general anesthesia, in this context all such procedures will be covered & paid under day care procedures.",insurance
Do we have any loading on pre-existing ailments,"Yes, there were will be loading on pre existing ailments which will be arrived at after health check up of the customer. Acceptance of the proposal will be subject to medical underwriting.",insurance
A person undergoes for dialysis 4 times in a week will it be covered if the basic deductible is exhausted,"Yes, any illness payable under the Policy for which threshold gets exhausted, will be paid under Super top up.",insurance
Can I cover my family members in this policy,"You can cover your family members as given below in a single Policy on Individual Sum Insured basis. Brother, Sister, Grand Son, Grand Daughter, Daughter in Law, Son in Law, Nephew, Niece, Grand Mother and Grand Father.",insurance
Will I get tax benefit if I cover my family on individual Sum Insured basis,"Yes, you will get Tax benefit under section 80D.",insurance
What will be the start date of my insurance policy,"Your insurance cover starts from the commencement date indicated by you in the proposal form or receipt of the premium by us, whichever is later.",insurance
"If I have a home insurance policy with two different companies, will I benefit from both","If you have a policy with two insurance companies, at the time of the claim both insurance companies will pay on a proportionate basis.",insurance
Is there an age limit on the property for it to be insured,No there is no age limit to buy a home insurance policy.,insurance
What are the documents required to be submitted in case of a home burglary claim,"The original invoice has to be submitted, giving the value of the items stolen. In addition to this you also have to give the replacement cost/repair cost, FIR, Final police report and claim form.",insurance
What happens to the home insurance policy if the insured house is sold,"From the time the transfer of ownership becomes effective, the policy stands cancelled and the insured ceases to be an insured under the policy. We will then refund the premium for the balance of the insured period.",insurance
"What is the difference between burglary, theft and larceny",Burglary is when there is forceful entry in the premises in order to rob. Theft is when there is a robbery without any evidence of forceful entry in the premises. Larceny is when a known person on the premises has robbed or stolen the insured’s belongings.,insurance
Can a HUF/ Leased (Mhada/Cidco) property be insured,If you have financial interest in the property as owner or lessor then you can insure the property.,insurance
When is an FIR necessary in a Home Insurance claim,A police FIR is mandatory in the case of: Burglary Theft Malicious Damage Riot and Strike Terrorism,insurance
What happens after the Home Insurance claim is registered,The surveyor contacts the customer in 48 hours. The claim form is sent to the customer’s correspondence address within 7 working days.,insurance
How will I know my Home Insurance policy is due for renewal,The renewal notice for a home insurance policy is sent 30 to 45 days in advance of the expiry of the policy.,insurance
What is the Home Insurance premium charged for fire and special peril cover and burglary and theft cover,The premium charged is Rs. 70 per Rs. 1 lakh for fire and special peril and Rs. 240 per Rs. 1 lakh for burglary and theft.,insurance
Do you offer any discounts for Home Insurance,"Yes, we do. The discounts available are: 24 hour security guard – 5% Burglar Alarm – 5% Both – 15%",insurance
Can a laptop be covered under a Home Insurance policy,"Yes, it is covered only while it is in the insured residential premises.",insurance
How do we value the property under home insurance,Property valuation is done by multiplying the built up area of the property with the cost of construction per square feet.,insurance
Is an FIR necessary for a property damage claim under the Home Insurance policy,"An FIR is mandatory in case of Malicious Damage, Riot and Strike, Terrorism, Burglary, Theft & Larceny claims.. However, it is not necessary in the case of floods, storms, earthquakes, lightning, subsidence or impact damage due to aircraft loss.",insurance
Can an entire society or building be covered under your Home Insurance policy,"No, an entire society cannot be covered under this product",insurance
What property is not covered under home insurance,The following properties are not covered: Properties under construction 'Kutcha' Constructions Residence-cum-office properties Residence-cum-shop Land View more,insurance
What are the eligibility criteria to avail a Home Insurance policy,Any resident Indian who is the owner of the property & which is located in India can purchase a Multi Year Home Insurance Policy.,insurance
Why do I need a Children’s Plan,"As a parent, your priority is your child’s future and being able to meet their dreams and aspirations. Providing a good education, establishing a professional career or even a modest wedding is becoming an expensive proposition with each passing year. Costs are increasing fast. Just imagine how much you will need when your young children tale these important steps in life in the future. With our Children’s Plans, you can start building regular savings today to help you secure your child’s immediate and future needs even when you are not around.",insurance
Will I also be able to save tax through a Children’s Plan,"Yes, you will be eligible for tax benefits under Section 80C and Section 10(10D) of the Income Tax Act, 1961, subject to the provisions contained therein (tax benefits are subject to change in the tax laws. Please refer to the Tax Benefits section for more details).",insurance
What are the factors to consider while buying a Children’s Plan,"Consider the inflated costs of a normal educational course or any other requirements that your child might have in the future. This should be your targeted savings amount, which you would want to receive when the policy matures. Ideally, the term you should choose for the plan is when your child is in a position to require the money. Thereafter, you need to sit with your Relationship Manager to work out the amount to be invested and the level of protection required.",insurance
Does HDFC SL offer Unit Linked plans within its entire range of Children’s Plans,"Yes, the plan name is HDFC Young star super premium plan.",insurance
Should I buy a plan in my Child’s name or in my own name,"When purchasing a Life Insurance plan, it is important to remember that its main purpose is to replace an income that is lost in case of the unfortunate demise of the chief bread winner of the family (Life Assured). A child rarely has an income and therefore has no reason to be insured. If the Insurance Plan is taken in name of the child, the plan gets derailed in case of the unfortunate demise of the parent. Thus, the very objective of any Children’s Plan is undermined if the plan is acquired in the child’s name. Therefore, as far as possible, make sure that you, as a parent, are the Life Assured and the nominee or the beneficiary is your child.",insurance
What is the surrender benefit,"If you surrender before completion of the 5th policy year, your Fund Value less applicable charges will be moved to the DPF and the proceeds from DPF will be paid out on the completion of the lock-in period. If you surrender after completion of the 5th policy year your Fund Value will be paid out to you. Upon payment of this benefit the policy terminates and no further benefits are payable. Please refer to the policy document for further details on Surrender.",insurance
Can I take any loan,Policy loan is not offered in this plan,insurance
What are the exclusions available under the Plan,"In case of death due to suicide within 12 months from the date of inception of the policy or from the date of the revival of the policy, the nominee or beneficiary of the policyholder shall be entitled to the fund value, as available on the date of death.Any charges recovered subsequent to the date of death shall be paid back to the nominee or beneficiary along with the death benefit. For detailed exclusions for the plan options please refer to product brochure carefully and/or consult Relationship Manager.",insurance
